model,case_id,ground_truth,old_recommendation,old_category,old_judge_correct,old_judge_clinical_ok,old_judge_overall,rag_recommendation,rag_category,rag_citations,rag_judge_correct,rag_judge_clinical_ok,rag_judge_overall,delta_correct,delta_overall
google_gemma-3-27b-it,ncc_11,OP-Planung: Nephrektomie links offen (bei V.-cava-Beteiligung ggf. Thrombektomie).,Radikale Nephrektomie mit Resektion des Tumorthrombus in der V. cava inferior.,Surgery,True,True,0.92,Weitere Diagnostik: MRT zur detaillierten Beurteilung der Vena-cava-Beteiligung.,Diagnostik,p015_c03|S15; p091_c02|S91,False,True,0.41,-1,-0.51
google_gemma-3-27b-it,ncc_13,"Nierenteilresektion beidseits: zuerst rechts, 8 Wochen später links. Komplettierung des Stagings mittels CT Thorax.","Radikale Nephrektomie rechts und Teilresektion links, nach histologischer Bestätigung und vollständigem Staging.",Surgery,False,True,0.55,CT Thorax,Diagnostik,p019_c04,False,True,0.46,0,-0.09
google_gemma-3-27b-it,ncc_14,Nephrektomie mit Adrenalektomie links; Einschätzung des perioperativen Risikos.,Nierenteilresektion (Nephron-sparing Surgery) nach Biopsie zur Bestimmung des histologischen Subtyps.,Surgery,False,True,0.49,MRT des Abdomens zur weiteren Abklärung des Verdachts auf Nebenniereninfiltration.,Diagnostik,p015_c03|S15; p032_c01|S32,False,True,0.45,0,-0.04
google_gemma-3-27b-it,ncc_22,"Systemtherapie: IO + IO vs. IO + TKI (unter Berücksichtigung sarkomatoider Komponente, IMDC intermediate, Komorbiditäten). Anämieabklärung/Supportivtherapie. Knochenprotektion (Denosumab/Bisphosphonat + Ca/Vit-D, Zahnarztstatus) und ggf. lokale Maßnahmen (Radiatio/OP) bei Risiko-Läsionen.","Prüfung der Durchführbarkeit einer ICI-Kombination (Nivo+Cabo, Nivo+Ipi, Pembro+Axi, Pembro+Len). Wenn nicht möglich: Cabozantinib.",IO+TKI/TKI mono,True,True,0.85,IO/IO oder IO/TKI Kombination,IO+TKI,p105_c02|S105,True,True,0.87,0,0.02
google_gemma-3-27b-it,ncc_30,Wechsel der Systemtherapie (z. B. Pazopanib oder Tivozanib oder Sunitinib) je nach Vorbehandlung/Verträglichkeit.,Sunitinib,TKI mono,True,True,0.82,"TKI-basierte Therapie (z.B. Sunitinib, Cabozantinib oder Lenvatinib)",TKI mono,p041_c05|S41,True,True,0.78,0,-0.04
google_gemma-3-27b-it,ncc_36,Erneute Bildgebung in 8 Wochen (Restaging). | Diskussion/Einleitung einer adjuvanten Immuntherapie nach Metastasektomie (je nach Gesamtkontext/Vorbehandlung/Leitlinie/Studienlage).,Nivolumab in Kombination mit Cabozantinib,IO+TKI,False,False,0.33,Konsolidierende Immuntherapie mit Pembrolizumab,IO,p093_c01,False,True,0.668,0,0.338
google_gemma-3-27b-it,ncc_50,"Lenvatinib + Everolimus fortführen. Tox-Monitoring: Blutbild, Nierenwerte, Lipide/Glukose, Stomatitis, Blutdruck/Proteinurie. Knochenprotektion nach Standard. Re-Staging in 8–12 Wochen.",Fortsetzung der aktuellen Therapie mit Lenvatinib + Everolimus bis zum Progress. Alternativ: Evaluation für klinische Studien.,TKI + mTOR,True,True,0.89,Fortsetzung der aktuellen Therapie mit Lenvatinib + Everolimus.,TKI mono,p041_c05|S41,True,True,0.88,0,-0.01
google_gemma-3-27b-it,ncc_51,"Tivozanib fortführen (4L) bei stabiler Erkrankung. Engmaschiges klinisches Monitoring (Fatigue, Appetit, Blutdruck, Blutungsrisiko/Interaktionen unter Apixaban), Laborkontrollen (BB, Leber-/Nierenwerte, Elektrolyte). Re-Staging in 8–12 Wochen.",Fortsetzung von Tivozanib,TKI mono,True,True,0.87,Fortsetzung der Tivozanib-Therapie,TKI mono,p041_c05|S41; p071_c02|S71,True,True,0.9,0,0.03
google_gemma-3-27b-it,ncc_62,4L nur bei klarer Zielsetzung/geringer Tox-Erwartung (MTB/Studie),Cabozantinib,TKI mono,False,False,0.37,TKI-basierte Therapie (Zulassungstatus beachten),TKI mono,p041_c05|S41; p050_c01|S50,False,False,0.37,0,0.0
google_gemma-3-27b-it,ncc_63,Belzutifan (sofern geeignet/verfügbar) vs. alternative Sequenz | palliatives Vorgehen / Best supportive care,Cabozantinib,TKI mono,False,True,0.35,"Ein anderer TKI, wie z.B. Sunitinib.",TKI mono,p041_c05|S41; p050_c01|S50,False,True,0.42,0,0.07
google_gemma-3-27b-it,ncc_7,Diagnostische Ureterorenoskopie rechts mit Probeentnahme.,"Biopsie zur histologischen Abklärung, gefolgt von Nephron-sparing Surgery (Teilresektion) bei cT1a/b und klarzelligem Tumor.",Surgery,False,True,0.5,Biopsie der Nierenraumforderung und MRT des Abdomens,Diagnostik,p016_c01|S16; p015_c03|S15,False,True,0.44,0,-0.06
google_gemma-3-4b-it,ncc_11,OP-Planung: Nephrektomie links offen (bei V.-cava-Beteiligung ggf. Thrombektomie).,NIVO+CABO (A),IO+TKI,False,False,0.15,"Eine Chemotherapie mit einem Platin-basierten Regime (z.B. Cisplatin oder Carboplatin) in Kombination mit einem Taxan (z.B. Paclitaxel oder Docetaxel) sollte in Betracht gezogen werden. Die Therapie sollte in Absprache mit einem erfahrenen Uro-Onkologen und einem Pneumologen erfolgen, um das Risiko einer Pneumonitis zu minimieren.",IO+TKI,p015_c03|S15; p091_c02|S91; p130_c02|S130,False,False,0.06,0,-0.09
google_gemma-3-4b-it,ncc_13,"Nierenteilresektion beidseits: zuerst rechts, 8 Wochen später links. Komplettierung des Stagings mittels CT Thorax.",Nephron-sparing Surgery (wenn technisch möglich) oder radikale Nephrektomie.,Surgery,False,True,0.72,Kontrastmittelverstärkte Schädel-MRT und Thorax-CT,Diagnostik,p019_c04|S19; p019_c02|S14,False,False,0.3,0,-0.42
