case_id,model_id,h_accept,h_quality,h_exact,h_patient,r_accept,r_quality,r_exact,r_patient
ncc_1,allenai/Olmo-3.1-32B-Instruct,True,3,30,30,True,6,50,50
ncc_1,allenai/Olmo-3.1-32B-Think,True,2,20,20,False,1,5,5
ncc_1,google/gemma-3-27b-it,True,2,20,20,True,2,30,30
ncc_1,google/gemma-3-4b-it,True,8,80,80,True,8,90,90
ncc_1,google/medgemma-27b-text-it,True,2,20,20,False,0,0,0
ncc_1,OpenMeditron/Meditron3-Qwen2.5-7B,False,0,0,0,False,0,0,0
ncc_11,allenai/Olmo-3.1-32B-Instruct,False,0,0,20,False,3,10,10
ncc_11,allenai/Olmo-3.1-32B-Think,True,8,100,90,True,7,70,70
ncc_11,google/gemma-3-27b-it,True,9,100,100,True,9,100,100
ncc_11,google/gemma-3-4b-it,False,0,0,0,False,0,0,0
ncc_11,google/medgemma-27b-text-it,True,9,100,100,True,9,100,100
ncc_11,OpenMeditron/Meditron3-Qwen2.5-7B,False,1,30,30,False,2,40,40
ncc_18,allenai/Olmo-3.1-32B-Instruct,True,6,70,70,True,8,80,80
ncc_18,allenai/Olmo-3.1-32B-Think,True,6,70,70,True,8,80,80
ncc_18,google/gemma-3-27b-it,True,6,70,70,True,8,80,80
ncc_18,google/gemma-3-4b-it,True,8,90,90,True,9,100,100
ncc_18,google/medgemma-27b-text-it,True,8,90,90,True,9,100,100
ncc_18,OpenMeditron/Meditron3-Qwen2.5-7B,True,6,70,70,True,8,80,80
ncc_2,allenai/Olmo-3.1-32B-Instruct,True,4,50,30,True,8,60,60
ncc_2,allenai/Olmo-3.1-32B-Think,True,5,50,70,True,3,30,30
ncc_2,google/gemma-3-27b-it,True,7,80,80,True,6,65,65
ncc_2,google/gemma-3-4b-it,False,0,0,0,False,0,0,0
ncc_2,google/medgemma-27b-text-it,True,8,90,80,True,6,60,60
ncc_2,OpenMeditron/Meditron3-Qwen2.5-7B,True,3,30,30,True,4,35,35
ncc_20,allenai/Olmo-3.1-32B-Instruct,True,7,70,70,True,8,80,80
ncc_20,allenai/Olmo-3.1-32B-Think,True,7,70,70,True,8,80,80
ncc_20,google/gemma-3-27b-it,True,7,70,70,True,8,80,80
ncc_20,google/gemma-3-4b-it,True,8,85,85,True,8,90,90
ncc_20,google/medgemma-27b-text-it,True,7,70,70,True,8,80,80
ncc_20,OpenMeditron/Meditron3-Qwen2.5-7B,True,7,70,70,True,8,80,80
ncc_31,allenai/Olmo-3.1-32B-Instruct,True,7,70,70,True,9,50,50
ncc_31,allenai/Olmo-3.1-32B-Think,True,7,70,70,True,8,80,80
ncc_31,google/gemma-3-27b-it,True,7,70,70,True,8,80,80
ncc_31,google/gemma-3-4b-it,True,7,70,70,True,8,80,80
ncc_31,google/medgemma-27b-text-it,True,7,70,70,True,8,80,80
ncc_31,OpenMeditron/Meditron3-Qwen2.5-7B,False,0,0,0,False,0,0,0
ncc_32,allenai/Olmo-3.1-32B-Instruct,True,4,40,50,False,6,20,20
ncc_32,allenai/Olmo-3.1-32B-Think,True,7,70,70,True,8,80,80
ncc_32,google/gemma-3-27b-it,True,7,70,70,True,8,80,80
ncc_32,google/gemma-3-4b-it,False,0,0,0,False,0,0,0
ncc_32,google/medgemma-27b-text-it,True,6,60,60,True,7,80,80
ncc_32,OpenMeditron/Meditron3-Qwen2.5-7B,True,4,40,40,False,0,0,0
ncc_33,allenai/Olmo-3.1-32B-Instruct,True,2,20,20,False,5,20,20
ncc_33,allenai/Olmo-3.1-32B-Think,True,2,25,25,False,0,0,0
ncc_33,google/gemma-3-27b-it,True,2,20,20,False,0,0,0
ncc_33,google/gemma-3-4b-it,True,2,20,20,False,0,0,0
ncc_33,google/medgemma-27b-text-it,True,2,20,20,False,0,0,0
ncc_33,OpenMeditron/Meditron3-Qwen2.5-7B,False,0,0,0,False,0,0,0
ncc_5,allenai/Olmo-3.1-32B-Instruct,True,5,50,50,False,5,40,30
ncc_5,allenai/Olmo-3.1-32B-Think,True,9,90,90,True,9,100,100
ncc_5,google/gemma-3-27b-it,True,9,90,90,True,5,100,100
ncc_5,google/gemma-3-4b-it,True,9,90,90,True,9,100,100
ncc_5,google/medgemma-27b-text-it,True,9,90,90,True,8,100,100
ncc_5,OpenMeditron/Meditron3-Qwen2.5-7B,True,9,90,90,True,9,100,100
ncc_6,allenai/Olmo-3.1-32B-Instruct,True,9,90,90,True,7,60,80
ncc_6,allenai/Olmo-3.1-32B-Think,True,5,50,50,True,6,60,60
ncc_6,google/gemma-3-27b-it,True,6,70,70,True,8,70,70
ncc_6,google/gemma-3-4b-it,True,6,75,75,True,7,70,70
ncc_6,google/medgemma-27b-text-it,True,6,75,75,True,7,70,70
ncc_6,OpenMeditron/Meditron3-Qwen2.5-7B,True,9,95,90,True,9,90,100
